name;Ca 315.887;Ca 317.933;Co 230.786;Co 231.160;Co 237.863;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 239.563;Fe 258.588;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Sc 335.372;Sc 357.634;Sc 361.383;Масса навески (g);sample_mass;Разбавление
T2-L4A2;110;112.1;2.102;2.08;2.158;3.216;16.62;17.22;3613 x;2817 x;4746 ox;67.52 x;64.60 x;66.66 x;65.01 x;0.559;0.5504;0.5735;;;10
T2-L4B1;50.44;51.57;0.0436;0.0389;;;0.3906;0.4026;210.1;218.4;;0.9042;0.8776;0.9094;0.8977;1.003;0.9962;0.9829;102.4;;
T2-L4B2;58.28;59.31;0.0496;0.0442;;;0.4783;0.4914;223.1;236.8;;1.068;1.042;1.069;1.063;1.032;1.028;1.02;129.2;;
T2-L4P4A1;64.07;64.67;0.6822;0.7086;0.8456;0.9962;-0.0040 uv;0.0319;2125 ox;1509 x;2597 ox;11.84;11;11.11;10.9;0.996;0.9977;0.9989;;;10
T2-L4P4A2;67.85;68.27;0.7022;0.7393;0.8552;0.9719;-0.0045 uv;0.0173;2246 ox;1592 x;2659 ox;11.73;10.97;11.07;10.91;0.9634;0.9636;0.9643;;;10
T2-L4P4B1;233;223.2;0.0269;0.0229;;;0.2078;0.2204;238.6;247.3;;0.7023;0.664;0.6996;0.6769;0.9838;0.982;0.9696;98.1;;
T2-L4P4B2;257.1;246.5;0.0214;0.0192;;;0.1983;0.2095;208.3;215.1;;0.6602;0.6294;0.6597;0.6447;1.016;0.9968;0.9921;102.4;;
T2-L4P4F4A1;70.06;70.33;0.6026;0.6367;0.7526;0.896;-0.0062 uv;0.009;2025 ox;1416 x;2469 ox;12.75;11.85;12.1;11.89;1.056;1.054;1.056;;;10
T2-L4P4F4A2;58.11;58.33;0.5186;0.5521;0.6146;0.7174;-0.0049 uv;0.0082;1954 ox;1393 x;2321 ox;10.79;10.19;10.3;10.14;1.095;1.095;1.092;;;10
T2-L4P4F4B1;252.6;242.5;0.022;0.0201;;;0.0498;0.0598;264.9;274.4;;0.436;0.4038;0.4306;0.4148;0.9774;0.9776;0.9619;103.4;;
T2-L4P4F4B2;294.7;283.8;0.0197;0.0148;;;0.035;0.0426;193.7;196.8;;0.4076;0.3788;0.3986;0.3903;1.02;1.001;0.9969;106.4;;
T2-L4P4F4D1;137.9;140.6;0.043;0.0354;;;2.5;2.534;96.32;100.3;;2.027;2.012;2.047;2.055;1.002;0.9866;0.9777;107.4;6.2663;
T2-L4P4F4D2;307.6;305.4;0.0656;0.0588;;;2.881;2.951;171.7;176.8;;3.429;3.358;3.478;3.419;1.01;0.984;0.9811;101.4;11.8628;
T2-L4P4F4N3A1;60.2;60.3;0.0021;0.0018;0.0016;0.0014;0.0081;0.0095;6.465;6.618;6.539;0.0181;0.0157;0.0162;0.0155;1.097;1.097;1.085;;;10
T2-L4P4F4N3A2;62.61;62.63;0.0014;0.0009;0.0011;0.0014;0.0126;0.0145;4.118;4.233;4.086;0.0106;0.0084;0.0088;0.0074;1.195;1.194;1.178;;;10
T2-L4P4F4N3B1;370.1;378;0.0293;0.0258;;;0.0236;0.0337;248.5;256.1;;0.5535;0.5256;0.5474;0.5352;0.979;0.9726;0.963;110.4;;
T2-L4P4F4N3B2;339.7;347.3;0.0267;0.0237;;;0.0218;0.0305;229.5;239.2;;0.5005;0.4705;0.4938;0.4804;0.9813;0.9784;0.971;105.7;;
T2-L4P4F4N4B1;347.9;355.7;0.0275;0.0257;;;0.0189;0.0284;243.3;251.8;;0.5318;0.4975;0.5326;0.5133;0.9648;0.9699;0.9519;101.1;;
T2-L4P4F4N4B2;321.6;328.9;0.0255;0.0218;;;0.0231;0.0318;222;233.4;;0.481;0.4455;0.4661;0.4596;0.9876;0.9767;0.9713;104.6;;
T2-L5A1;78.94;78.77;1.092;1.152;;;6.115;6.475;3826 ox;;;34.54;34.06;33.54;33.73;0.9002;0.9119;0.9313;;;10
T2-L5A2;89.26;88.46;1.092;1.158;;;5.04;5.3;3741 ox;;;34.24;33.98;33.36;33.61;0.9112;0.9236;0.9419;;;10
T2-L5B1;66.59;67.73;0.0516;0.0457;;;0.5015;0.5119;184.1;188.3;;1.09;1.064;1.104;1.084;1.009;1.004;0.9941;112.7;;
T2-L5B2;61.38;62.44;0.0461;0.0393;;;0.4718;0.4793;144;148.5;;0.9702;0.9536;0.9807;0.9684;1.026;1.013;1.005;108.5;;
T2-F5D1;291.1;280.6;0.064;0.0584;;;1.67;1.689;148.4;152.1;;3.284;3.233;3.293;3.302;1;0.9972;0.9895;102.3;12.4;
T2-F5D2;274.7;264;0.0632;0.0581;;;1.993;2.014;172.4;175.8;;3.032;2.997;3.041;3.053;1.008;0.997;0.9899;111.6;10.0187;
T2-L5S2;26.57;26.47;0.0452;0.0385;;;2.066;2.072;32;32.45;;3.374;3.351;3.392;3.396;1.062;1.054;1.048;27.3;27.3;
T2-N1A41;43.77;43.83;0.0015;0.0016;0.0012;0.0012;0.0106;0.0121;8.871;9.033;8.656;0.0041;0.0018;0.0031;0.0017;1.244;1.251;1.236;;;10
T2-N1A42;46.62;46.66;0.0007;0.0003;0.002;0.0011;0.0119;0.0129;0.4567;0.4496;0.4407;0.0022;0.0007;0.0016;0.0009;1.172;1.178;1.164;;;10
T2-N2A11;43.78;43.77;0.0011;0.0009;0.0009;0.0009;0.0108;0.012;2.048;2.041;1.996;0.0035;0.0022;0.0024;0.0018;1.232;1.236;1.224;;;10
T2-N2A12;44.86;44.82;0.0008;0.0007;0.0007 uv;0.0009;0.0105;0.0119;2.015;2.027;1.958;0.0043;0.002;0.0025;0.0018;1.25;1.255;1.242;;;10
T2-N2A21;40.69;40.68;0.0015;0.001;0.0013;0.0009 uv;0.0097;0.0116;10.14;10.17;9.953;0.0193;0.0165;0.0172;0.0168;1.276;1.28;1.268;;;10
T2-N2A22;41.39;41.48;0.0013;0.0011;0.0016;0.0008;0.0105;0.0122;10.23;10.25;10.03;0.0196;0.0167;0.0178;0.0164;1.279;1.286;1.267;;;10
T2-N3A1;43.89;44.01;0.0027;0.0024;0.0029;0.0027;0.0055;0.0087;44.61;44.83;43.67;0.0119;0.0073;0.0079;0.0071;1.218;1.227;1.208;;;10
T2-N3A2;56.23;56.12;0.0002 uv;0.0007;0.0015;0.0003 uv;0.0073;0.0085;0.5997;0.5891;0.5803;0.002;-0.0002 uv;0.0015;-0.0005 uv;1.194;1.2;1.182;;;10
T2-N5A1;56.18;55.67;0.0024;0.0005 uv;;;0.0109;0.0114;10.73;;;0.0344;0.0353;0.0315;0.0335;1.028;1.061;1.07;;;10
T2-N5A2;53.28;52.74;0.0015;-0.0003 uv;;;0.0112;0.0117;8.955;;;0.0193;0.0196;0.017;0.019;1.034;1.064;1.076;;;10
T2-N5B1;402.1;412.4;0.034;0.0306;;;0.0496;0.0593;235;251;;0.705;0.671;0.7026;0.6834;0.9728;0.9734;0.9585;113.1;;
T2-P1A31;56.49;57.11;0.313;0.365;0.4354;0.5058;-0.0024 uv;0.0232;2191 ox;1554 x;2558 ox;1.041;0.6187;0.6211;0.6026;0.9978;1.007;1.003;;;10
T2-P1A32;50.84;51.32;0.2836;0.333;0.3856;0.453;-0.0022 uv;0.0223;2035 ox;1443 x;2396 ox;0.9416;0.5578;0.5614;0.5413;1.051;1.061;1.056;;;10
T2-P1A41;51.82;52.28;0.3398;0.393;0.4422;0.4971;-0.0027 uv;0.0189;2092 ox;1466 x;2357 ox;1.005;0.6425;0.6447;0.6333;1.046;1.056;1.051;;;10
T2-P1A42;52.89;53.16;0.3479;0.4033;0.4502;0.5039;-0.0028 uv;0.0196;2078 ox;1500 x;2451 ox;1.026;0.6524;0.6579;0.6417;1.029;1.037;1.031;;;10
T2-P2A11;49.4;49.91;0.0206;0.0616;0.0769;0.0939;-0.0018 uv;0.0134;1570 x;1267 x;1771 x;0.1976;0.0307;0.0332;0.0255;1.078;1.092;1.079;;;10
T2-P2A12;48.99;49.51;0.018;0.0598;0.0784;0.0909;-0.0019 uv;0.0135;1572 x;1291 x;1794 x;0.1944;0.0312;0.0328;0.0228;1.056;1.069;1.058;;;10
T2-P2A21;91.03;91.76;0.1023;0.1513;0.1811;0.215;0.0283;0.0829;1872 x;1446 x;2243 ox;0.6726;0.4292;0.4261;0.4164;1.025;1.038;1.028;;;10
T2-P2A22;87.41;88.19;0.0995;0.1458;0.1729;0.2066;0.0271;0.0816;1880 x;1469 x;2269 ox;0.6499;0.4156;0.412;0.4046;1.001;1.015;1.004;;;10
T2-P5A1;57.32;56.9;0.5737;0.6308;;;-0.0050 uv;0.018;3429 ox;;;10.31;10.1;9.861;9.968;0.8945;0.9017;0.9126;;;10
T2-P5A2;62.94;62.25;0.5737;0.631;;;-0.0051 uv;0.0161;3075 ox;;;8.375;8.366;8.065;8.12;0.9144;0.9296;0.9676;;;10
T2-P5B1;275.7;264.9;0.028;0.023;;;0.2356;0.244;215.7;220.1;;0.8601;0.8352;0.8387;0.8398;1.038;1.034;1.028;103.1;;
T2-P5B2;132.7;134.9;0.0314;0.0243;;;0.1971;0.205;194.7;199.4;;0.9095;0.8888;0.8985;0.9013;1.046;1.036;1.027;101;;
T2-4A1;10.28;10.32;0.2983;0.2933;0.2818;0.2896;0.004;0.0111;209.8;206.7;200.8;8.496;8.258;8.418;8.33;1.226;1.223;1.208;;;10
T2-4B1;49.69;50.73;0.0633;0.0813;;;0.9035;0.9506;1072;984.1;;1.577;1.481;1.515;1.505;0.9608;0.9667;0.9489;105.5;;
T2-N5B2;365.3;373.1;0.033;0.0289;;;0.0262;0.0347;218.2;230.3;;0.6124;0.5882;0.6064;0.5957;0.9899;0.9897;0.9809;105.4;;
