name;Ca;dCa;Co;dCo;Cu;dCu;Fe;dFe;Ni;dNi;Описание;is_solid;;
T13_110_БF_гипс;;;0.02;0.01;0.10;0.00;32.98;14.39;0.89;0.01;;True;;
Т13_110_qF_1_F;;;0.08;0.03;2.51;0.01;253.56;115.33;3.61;0.05;;True;;
Т13_110_БF_1_F;;;0.05;0.05;3.28;0.06;218.24;99.07;1.26;0.02;;True;;
Т13_110_АБF_1_I;;;0.04;0.05;2.71;0.00;225.23;102.79;0.23;0.01;;True;;
Т13_110_АБF_1_F;;;0.04;0.05;2.72;0.00;219.99;100.75;0.27;0.01;;True;;
Т13_110_БF_1_I;;;0.05;0.04;3.89;0.07;224.93;102.20;1.42;0.03;;True;;
AV_1_4.2_F;;;0.50;0.05;1.68;0.01;81.66;26.23;22.73;0.47;Концентрат флотации после автоклавного выщелачивания с лигногуматом 4.2;True;;
AV_1_13.1_C;;;0.52;0.19;3.93;0.06;291.47;128.15;18.79;0.38;Концентрат флотации после автоклавного выщелачивания с лигногуматом 13_1;True;;
NV1_5_1_C;;;0.22;0.09;1.78;0.02;285.93;129.52;9.88;0.18;Камерный продукт флотации нитритного NV_1_5;True;;
NV1_7_F;;;0.66;0.20;11.22;0.18;307.98;131.73;28.63;0.65;Концентрат флотации нитритного выщелачивания NV_1_7;True;;
LST_3_C;;;0.01;0.00;0.05;0.00;46.38;20.54;0.50;0.01;Камерный продукт флотации третьей повторности эксперимента по снижению количества ЛСТ;True;;
NV1_5_I;;;0.39;0.17;4.71;0.08;292.70;127.29;18.15;0.35;Промежуточный продукт флотации нитритного выщелачивания NV_1_5;True;;
NV1_7_I;;;0.64;0.17;5.09;0.04;269.74;113.96;26.49;0.61;Промежуточный продукт флотации нитритного выщелачивания NV_1_7;True;;
ISO_4_I;181.90;3.10;0.01;0.01;0.07;0.00;56.57;0.92;0.46;0.00;Промежуточный продукт флотации образца САВ нейтрализованного ИСО до ph 4;True;;
ISO_4_F;21.60;0.11;0.05;0.02;0.57;0.00;48.65;1.12;2.36;0.01;Концентрат флотации образца САВ нейтрализованного ИСО до ph 4;True;;
ISO_4_C;171.21;5.04;0.00;0.01;0.03;0.00;37.85;0.34;0.30;0.00;Камерный продукт флотации образца САВ нейтрализованного ИСО до ph 4;True;;
NV_1_7_C;14.10;0.06;0.50;0.13;2.42;0.03;368.87;23.84;20.80;0.26;Камерный продукт флотации нитритного выщелачивания NV_1_7;True;;
S_0_C;143.99;2.50;0.00;0.02;0.09;0.00;76.52;1.32;0.29;0.00;Камерный продукт флотации без добавления серы;True;;
S_1_C;146.21;2.75;0.00;0.01;0.08;0.00;67.25;1.36;0.24;0.00;Камерный продукт флотации с добавлением 0.1 г серы;True;;
S_2_C;133.54;7.43;0.00;0.03;0.04;0.00;116.06;1.65;0.39;0.00;Камерный продукт флотации с добавлением 0.2г серы;True;;
S_3_I;108.72;5.91;0.00;0.03;0.21;0.00;125.08;6.46;0.66;0.01;Промежуточный продукт флотации с добавлением 0.3г серы;True;;
S_3_C;153.10;2.94;0.00;0.02;0.05;0.00;81.73;0.94;0.59;0.00;Камерный продукт флотации с добавлением 0.3г серы;True;;
S_4_I;114.92;6.58;0.00;0.03;0.29;0.00;112.71;1.99;0.33;0.01;промежуточный продукт флотации с добавлением 0.4г серы;True;;
S_4_C;145.66;4.27;0.00;0.01;0.05;0.00;70.19;0.69;0.21;0.00;Камерный продукт флотации с добавлением 0.4г серы;True;;
NV_1_7_C*5;14.50;0.04;0.50;0.17;2.34;0.01;357.86;6.71;20.62;0.10;Камерный продукт флотации нитритного выщелачивания NV_1_7;True;;
LST_2_C;138.10;3.48;0.00;0.02;0.04;0.00;57.40;1.46;0.63;0.01;Камерный продукт второго образца эксперимента по снижению ЛСТ;True;;
LST_2_I;131.79;7.81;0.05;0.04;0.33;0.00;120.82;5.73;1.52;0.01;Промежуточный продукт флотации второго образца эксперимента по снижению ЛСТ;True;;
LST_1_I;175.99;4.93;0.02;0.02;0.22;0.00;50.81;1.08;1.92;0.01;Промежуточный продукт флотации первого образца эксперимента по снижению ЛСТ;True;;
LST_3_C;146.25;3.23;0.00;0.01;0.04;0.00;46.23;0.95;0.51;0.00;Камерный продукт третьего образца эксперимента по снижению ЛСТ;True;;
LST_1_F;53.45;0.39;0.21;0.03;1.69;0.01;69.52;1.73;9.25;0.10;Концентрат флотации 1го образца эксперимента по снижению ЛСТ;True;;
LST_3_I;143.84;3.02;0.02;0.04;0.21;0.00;145.41;10.75;2.43;0.02;промежуточный продукт третьего образца эксперимента по снижению ЛСТ;True;;
LST_1_C;192.68;6.01;0.00;0.00;0.05;0.00;33.75;0.64;0.62;0.00;Камерный продукт первого образца эксперимента по снижению ЛСТ;True;;
LST_2_F;8.27;0.07;0.83;0.06;2.45;0.02;150.13;10.52;17.11;0.23;концентрат флотации второго образца эксперимента по снижени ЛСТ;True;;
LST_3_F;12.06;0.17;0.18;0.11;2.38;0.00;345.80;9.45;9.50;0.10;концентрат флотации третьего образца эксперимента по снижению ЛСТ;True;;
