Проб;Метки Образцов;Ag 328.068;Ag 338.289;Ca 315.887;Ca 317.933;Ca 393.366;Ca 396.847;Ca 422.673;Co 230.786;Co 231.160;Co 237.863;Co 238.892;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 238.204;Fe 239.563;Fe 258.588;Fe 259.940;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Sc 335.372;Sc 357.634;Sc 361.383
72;T17_110-S;0,0069;0,0194;19.68 x;18.69 x;18.87 x;8.014 o;18.57 x;0,9065;0,9223;0,8162;-0.9569 uv;1,03;6,1;4,99;1251 ox;510.2 ox;751.1 x;1481 ox;630.6 ox;20.26 x;19.70 x;18.95 x;19.36 x;19.46 x;0,938;0,9309;0,938
73;T17_115-S;0,0082;0,0215;24.69 x;23.24 x;22.42 x;8.007 o;23.17 x;0,9459;0,9587;0,8927;-1.065 uv;1,101;5,211;4,449;1333 ox;508.8 ox;755.1 x;1501 ox;624.0 ox;21.14 x;20.51 x;19.72 x;20.13 x;20.22 x;0,9374;0,9296;0,9354
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
;;;;;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
