Метки Образцов;Масса навески (g);sample_mass;Разбавление;Valiq, ml;Al 308.215;Al 394.401;Al 396.152;Ca 315.887;Ca 317.933;Cd 214.439;Cd 228.802;Co 230.786;Co 231.160;Co 258.033;Cu 324.754;Cu 327.395;Fe 234.350;Fe 258.588;Mg 279.800;Mg 285.213;Mn 257.610;Mn 260.568;Mn 293.931;Mn 294.921;Ni 216.555;Ni 221.648;Ni 227.021;Ni 230.299;Ni 231.604;Pb 220.353;Pb 283.305;S 178.165;S 180.669;S 181.972;S 182.562;Sc 335.372;Sc 357.634;Sc 361.383;Si 250.690;Si 251.611;Si 252.411;Si 288.158;Zn 202.548;Zn 206.200;Zn 213.857;Zn 472.215
T2-F10Z3;;;10;;1.039;1.111;1.068;52.66;52.97;0.0105;0;0.1512;0.1705;0.1831;0;0.0048;1282;1212;33.25;33.9;1.175;1.178;1.163;1.172;3.102;3.052;3.057;3.108;0.043;2.115;781;750.4666667;749.2;749.1;753.1;0.9824;1.006;1.001;4.233;4.333;4.632;4.277;0.1663;0.1609;0.2389;0.4715
T2-F10Z4;;;10;;1.505;1.559;1.53;50.91;51.36;0.0083;0;0.1301;0.1421;0.1497;0;0.0096;891.3;878;23.13;23.82;0.8326;0.8359;0.8325;0.833666667;2.489;2.45;2.455;2.486;0.0336;1.636;603.6;582.6;584.4;580.5;582.9;0.9751;0.9972;0.9926;4.156;4.25;4.444;4.201;0.1225;0.1182;0.1771;0.3502
T2-N10A2;;;10;;0.0272;0.0469;0.0406;66;65.89;0.0008;0.0005;0.0243;0.023;0.0238;0.0039;0.0039;1.591;1.585;4.071;4.054;0.0072;0.0075;0.0076;0.008;0.0045;0.0042;0.0041;0.0057;0.004;0;0;69.36333333;72.65;69.19;66.25;1.057;1.058;1.06;0.1261;0.1266;0.134;0.1281;0.0099;0.0105;0.0094;0.0188
T2-F10D1;98.5;2.0738;;;8.278;8.447;8.437;66.67;66.84;0.01;0.0067;0.3943;0.3906;0.3828;11.25;11.46;146.3;148.3;1.903;1.883;0.1298;0.1278;0.1298;0.2033;15.46;15.47;15.36;15.24;15.32;0.0177;0.2822;1161;1154;1152;1177;1.035;1.035;1.038;6.946;7.099;7.174;7.126;0.1778;0.087;0.1791;0.1211
T2-F10D2;102.4;3.8679;;;9.315;9.424;9.482;172.4;172.3;0.0091;0.0069;0.3777;0.3783;0.3672;8.659;8.667;202.4;206.2;2.054;2.017;0.1172;0.1156;0.1172;0.223;11.77;11.72;11.67;11.74;11.71;0.0236;0.4086;997.6666667;1005;989.2;998.8;1.037;1.039;1.041;7.673;7.858;7.943;7.888;0.2089;0.1406;0.2124;0.1796
T2-L10B2;108.5;;;;10.74;10.9;10.96;66.06;65.9;0.0028;0.0008;0.0426;0.0414;0.0415;0.4643;0.4686;200.1;203.9;7.713;7.693;0.2842;0.2822;0.2841;0.3775;0.9155;0.9075;0.8928;0.907;0.8986;0.0531;0.4235;448.9666667;463.6;448.1;435.2;1.079;1.078;1.075;6.072;6.187;6.257;6.205;0.0584;0.0547;0.0685;0.0919
T2-P10B1;103.5;;;;6.308;6.455;6.439;290.1;273.5;0.0032;0.0047;0.026;0.0303;0.0277;0.2096;0.2186;244.1;238.6;5.075;5.169;0.1684;0.1661;0.1686;0.2957;0.7373;0.7189;0.7045;0.7243;0.715;0.0302;0.4989;354.9333333;370.4;355.3;339.1;1.041;1.041;1.043;6.938;7.109;7.199;7.107;0.0706;0.0686;0.0847;0.1143
T2-P10B2;103.6;;;;6.491;6.637;6.64;301.6;288.5;0.0033;0.0023;0.0267;0.0282;0.0282;0.2095;0.2188;242.6;236.9;4.877;4.952;0.1673;0.1643;0.1673;0.2933;0.757;0.7334;0.726;0.7402;0.7316;0.0186;0.4941;363.9666667;381.3;362.8;347.8;1.045;1.046;1.046;9.405;9.663;9.741;9.707;0.0529;0.0507;0.0673;0.0987
T2-10B1;98.3;;;;18.73;18.92;18.45;74.08;74.34;0.0079;0.0007;0.0579;0.0681;0.0728;0.8216;0.8478;688;726.6;11.22;11.72;0.4625;0.4464;0.457;0.8068;1.418;1.346;1.372;1.375;1.348;0.0577;1.473;150.9666667;157.1;151.5;144.3;1.024;1.02;1.018;9.348;9.564;9.753;9.541;0.1104;0.0976;0.1526;0.2707
T2-10B2;100;;;;19.51;19.66;19.34;56.83;56.71;0.0072;0;0.0549;0.0686;0.0722;0.8168;0.8367;765.3;803.3;11.54;11.86;0.4383;0.4363;0.4419;0.8457;1.38;1.332;1.315;1.322;1.321;0.0632;1.496;140.5;146.3;141.2;134;1.016;1.02;1.022;10.62;10.91;11.07;10.91;0.0926;0.0813;0.1359;0.2791
T2-L10B1;104;;;;7.641;7.743;7.73;50.56;50.6;0.0024;0.003;0.0343;0.032;0.0328;0.3263;0.3298;177.3;179.9;6.088;6.221;0.2288;0.2255;0.2271;0.311;0.6956;0.6856;0.6796;0.702;0.6824;0.0424;0.3658;356.3666667;368;357.7;343.4;1.032;1.034;1.035;10.05;10.34;10.4;10.39;0.0715;0.0695;0.081;0.1031
T2-F10B1;103.8;;;;6.016;6.123;6.084;333;330.5;0.0025;0.0036;0.0119;0.016;0.0158;0.0411;0.0482;191.6;195;3.951;4.108;0.1381;0.1352;0.1378;0.2345;0.3498;0.3352;0.3325;0.3492;0.3343;0.0241;0.3836;357.7666667;374.3;357.4;341.6;1.006;1.007;1.008;8.961;9.201;9.3;9.231;0.0475;0.0463;0.0592;0.0697
T2-F10B2;104;;;;6.275;6.389;6.354;333.8;334.6;0.0027;0.0024;0.0176;0.0147;0.0148;0.0374;0.045;193.4;195.3;3.77;3.894;0.1279;0.1265;0.1282;0.2272;0.3435;0.3304;0.3258;0.3402;0.3302;0.0325;0.386;354.7333333;372.4;353.2;338.6;1.022;1.026;1.023;8.047;8.26;8.375;8.262;0.054;0.0532;0.0652;0.0779
T2-F10ZB4;100;;;;8.38;8.457;8.497;315.8;299.8;0.0028;0.0035;0.016;0.0147;0.0166;0.1407;0.1486;232.2;236.4;2.715;2.738;0.0997;0.0987;0.1004;0.2223;0.252;0.2333;0.2299;0.2425;0.2311;0.0285;0.4636;314.3666667;331.5;313.7;297.9;1.013;1.018;1.017;7.106;7.292;7.348;7.257;0.053;0.0505;0.0655;0.0895
T2-F10ZB3;101.8;;;;11.66;11.77;11.83;292.1;275.5;0.0034;0.0035;0.0201;0.0226;0.0225;0.2348;0.2431;272.3;278.7;2.753;2.752;0.1128;0.113;0.1135;0.2666;0.2641;0.2412;0.2388;0.2567;0.2391;0.0286;0.5803;307.2666667;324.6;306.1;291.1;1.013;1.017;1.017;10.43;10.73;10.82;10.74;0.0445;0.0405;0.059;0.0888
T2-N10B1;99.8;;;;5.402;5.474;5.455;396.5;401.7;0.0032;0.0042;0.0227;0.0239;0.0242;0.0325;0.0419;244.7;243.8;5.458;5.642;0.1965;0.1929;0.1959;0.3199;0.4751;0.4585;0.4506;0.4715;0.4529;0.0164;0.4898;323.7666667;344.3;321.7;305.3;1.005;1.009;1.009;11.02;11.35;11.42;11.37;0.0641;0.0631;0.0789;0.106
T2-N10B2;99.5;;;;4.614;4.687;4.669;396.9;401.4;0.0031;0.0035;0.0205;0.0212;0.0205;0.0297;0.0379;221.9;225.2;5.702;5.908;0.1718;0.1689;0.1715;0.2837;0.4009;0.384;0.3795;0.3942;0.3807;0.0277;0.4332;317.4;338.2;314.6;299.4;1.019;1.024;1.021;8.639;8.881;8.97;8.869;0.0673;0.0671;0.0808;0.0997
T2-11A1;;;10;;38.6;39.8;38.75;46.9;47.14;0.0131;0.0021;1.755;1.748;1.734;0.4226;0.4558;1360;1263;129.8;108.9;5.674;5.715;5.69;5.974;48.1;47.27;48;48.03;47.63;0.0549;2.161;978.2666667;991.8;967.2;975.8;0.9784;0.9749;0.9726;9.627;9.804;10.1;9.783;0.9615;0.9397;1.273;1.239
T2-11A2;;;10;;38.42;39.64;38.4;46.69;46.97;0.0131;0.0019;1.746;1.741;1.723;0.4206;0.4515;1354;1268;129.1;108.2;5.641;5.669;5.657;5.926;48.06;47.15;47.93;47.99;47.47;0.0522;2.121;986.9333333;1007;974.5;979.3;0.9822;0.9752;0.9729;9.557;9.738;9.967;9.709;0.9602;0.9356;1.265;1.227
T2-L11A1;;;10;;272.5;285.3;255.8;54.33;55.37;0.1152;0.0054;1.253;1.29;1.794;9.746;10.12;3762;3933;179.2;168.5;7.436;7.592;7.482;13.69;37.23;35.34;35.98;35.8;35.55;0.6782;29.19;6720.666667;3618;5044;11500;0.787;0.7822;0.7911;7.335;6.53;11.16;6.581;1.09;0.8328;2.245;5.088
T2-L11A2;;;10;;281.8;296;265.8;71.69;72.51;0.1251;0.0051;1.304;1.334;1.888;10.19;10.54;3751;3918;181;169.8;7.471;7.701;7.57;14.15;38.72;36.74;37.25;37.13;37.04;0.6365;30.28;6457.666667;3584;4869;10920;0.7791;0.7799;0.7887;8.658;7.885;13.37;7.918;1.131;0.858;2.351;5.466
T2-N11A1;;;10;;0.3225;0.3332;0.3306;61.26;61.42;0.0003;0.0005;0.0261;0.0257;0.0274;0.0118;0.0129;17.39;16.91;40.84;39.94;0.0693;0.0686;0.0689;0.0744;0.0525;0.049;0.0503;0.0497;0.0497;0.0044;0.0333;148.8666667;157.4;151;138.2;0.9942;1.003;0.994;0.2554;0.2543;0.2688;0.259;0.0089;0.011;0.0105;0.0301
T2-N11A2;;;10;;0.0212;0.0359;0.0277;62.13;62.16;0.0001;0.001;0.0248;0.0238;0.0268;0.0037;0.0039;7.307;7.134;86.4;79.15;0.3515;0.3513;0.3458;0.3299;0.0103;0.0081;0.0094;0.0084;0.0097;0.0064;0.0231;192.4666667;204;195.1;178.3;0.9879;0.9922;0.983;0.2288;0.2312;0.2408;0.2307;0.0081;0.0104;0.0092;0.0294
T2-N11G1;;;10;;0.0094;0.0224;0.0138;48.39;48.34;0.0002;0.0006;0.0257;0.0251;0.0274;0.0035;0.0041;9.284;9.023;67.46;62.88;0.2892;0.2905;0.2848;0.275;0.0158;0.0132;0.0148;0.0137;0.0143;0.006;0.0242;154.7333333;164.8;156.7;142.7;0.9938;0.9978;0.9892;0.1768;0.1756;0.1887;0.1791;0.0118;0.014;0.0127;0.0362
T2-N11G2;;;10;;0.15;0.165;0.1599;54.72;55.13;0.0004;0.0004;0.0286;0.0278;0.0291;0.0091;0.0109;28.59;27.92;34.45;33.9;0.0652;0.0641;0.0631;0.0745;0.0896;0.0841;0.0864;0.0856;0.0853;0.0055;0.0547;144.8333333;159.8;145.5;129.2;1.003;1.003;0.9974;0.1635;0.1598;0.1744;0.1615;0.0177;0.0188;0.0197;0.0413
T2-P11A1;;;10;;41.86;43.71;42.28;61.68;62.67;0.0705;0.0029;0.7634;0.8374;1.056;0;0.0068;3720;3478;153.9;139.6;5.285;5.33;5.162;8.678;17.32;16.12;16.48;16.23;16.27;0.2906;15.94;3579.333333;3120;3311;4307;0.8531;0.8498;0.8577;13.57;13.62;15.87;13.15;0.8042;0.6982;1.441;2.93
T2-P11A2;;;10;;5.587;6.169;5.817;63.75;64.22;0.0627;0.0012;0.7396;0.8093;0.987;0;0.0071;3701;3346;161.8;141.7;5.47;5.462;5.34;8.402;10.81;9.84;10.14;9.913;9.866;0.2517;13.84;3334;3042;3114;3846;0.8762;0.8726;0.8825;14.84;14.8;16.73;14.35;0.7478;0.6569;1.275;2.563
T2-F11A1;;;10;;30.06;31.47;30.51;62.72;63.21;0.0527;0.002;0.5589;0.622;0.7648;0;0.004;3876;3242;119.8;108.7;3.956;3.978;3.884;6.56;13.77;12.8;13.09;12.88;12.85;0.2038;11.61;3042.666667;2907;2863;3358;0.9001;0.899;0.9031;17.28;17.45;19.39;16.97;0.6303;0.5541;1.083;2.156
T2-F11A2;;;10;;4.195;4.59;4.365;64.96;65.62;0.0441;0.0012;0.5184;0.5815;0.7027;0;0.0093;3487;3119;122.4;108.7;3.975;3.996;3.926;6.303;9.753;8.976;9.16;8.99;8.945;0.1818;9.793;2820;2773;2666;3021;0.9234;0.9164;0.9224;12.96;13.1;14.43;12.84;0.5907;0.5266;0.964;1.904
T2-F11Z1;;;10;;22.86;23.99;23.4;55.98;56.24;0.0408;0.0016;0.4732;0.5346;0.6476;0;0.0071;3504;3086;98.2;90.17;3.215;3.235;3.162;5.538;12.03;11.32;11.41;11.19;11.26;0.1761;8.95;2711;2720;2563;2850;0.9234;0.9181;0.9251;5.407;5.269;6.668;5.187;0.5283;0.4689;0.8864;1.772
T2-F11Z2;;;10;;2.418;2.683;2.523;55.21;55.52;0.0301;0.0004;0.4002;0.4502;0.5238;0;0.0054;3166;2861;89.99;83.49;2.898;2.931;2.875;4.685;8.526;7.953;8.069;7.904;7.986;0.1336;6.642;2209.666667;2335;2101;2193;0.9442;0.9394;0.946;2.914;2.744;3.713;2.699;0.4295;0.3896;0.6927;1.362
T2-N10E22;96.7;187.3415;;;4.76;4.803;4.825;353.6;356.3;0.0026;0.0038;0.0199;0.0223;0.0234;0.0708;0.078;221.4;209.7;6.167;6.356;0.1744;0.1724;0.1718;0.2808;0.447;0.4151;0.4199;0.4293;0.4156;0.0241;0.3734;365.1666667;426.5;356.1;312.9;0.9699;0.9656;0.9673;8.776;9.015;9.01;8.903;0.0479;0.0462;0.062;0.0835
T2-F11D1;162.3;21.2345;;;12.99;13.21;13.29;462.2;468.9;0.0043;0.0043;0.0596;0.0634;0.0615;2.609;2.596;287.8;274.1;2.822;2.826;0.1352;0.1345;0.1338;0.2892;2.141;2.057;2.078;2.065;2.064;0.0356;0.5246;804.1333333;933.2;774.2;705;0.9695;0.9672;0.968;8.121;8.342;8.311;8.215;0.0519;0.0283;0.0601;0.0682
T2-F11D2;99.3;27.4081;;;8.172;8.268;8.365;297.9;283.4;0.0032;0.0026;0.0433;0.0427;0.0445;1.011;1.003;209.6;200.3;2.552;2.513;0.1049;0.1037;0.1033;0.2099;1.602;1.54;1.56;1.561;1.554;0.0266;0.3648;455.9666667;530.5;445.1;392.3;0.9981;0.997;0.9958;9.29;9.553;9.533;9.416;0.0597;0.0498;0.0707;0.087
T2-N10E12;98.7;191.4639;;;4.83;4.871;4.915;356.3;359.2;0.0022;0.0014;0.0222;0.0238;0.0242;0.0318;0.0399;233.9;221.2;4.141;4.186;0.1795;0.1774;0.1764;0.2922;0.4457;0.4122;0.419;0.4285;0.4126;0.0296;0.4037;369.6333333;435;360.2;313.7;0.9726;0.9704;0.9677;8.451;8.679;8.668;8.555;0.0384;0.0369;0.0531;0.0803
T2-N11B1;98.5;;;;4.889;4.936;4.965;355.3;357.9;0.0029;0.0021;0.021;0.0244;0.026;0.0216;0.0297;231.7;219.3;5.134;5.178;0.1643;0.1617;0.1615;0.2769;0.471;0.4386;0.444;0.4536;0.4364;0.0218;0.4006;369.4666667;435.4;359.2;313.8;0.9869;0.9867;0.9877;9.851;10.12;10.11;9.974;0.0653;0.0639;0.0793;0.0968
T2-N10E11;100.5;191.4639;;;4.584;4.627;4.659;363.4;367.1;0.0033;0.0014;0.0227;0.0242;0.0255;0.0291;0.0372;238.3;225.5;4.365;4.401;0.1817;0.1786;0.1787;0.2963;0.4503;0.4164;0.4225;0.4257;0.4169;0.0296;0.4109;376.3;444.5;365.2;319.2;0.9693;0.9698;0.9706;7.124;7.259;7.277;7.178;0.0407;0.0392;0.0557;0.0831
T2-P11B1;98.7;;;;6.057;6.162;6.198;259.7;244.8;0.0025;0.0018;0.0211;0.0244;0.026;0.2113;0.2181;244.5;231.8;4.44;4.43;0.1475;0.1464;0.1455;0.2683;0.5657;0.5278;0.537;0.5383;0.5295;0.0344;0.4056;422.4333333;495.2;411.4;360.7;0.9965;0.9958;0.995;6.163;6.314;6.29;6.228;0.0377;0.0343;0.0515;0.0858
T2-F11B2;98.3;;;;6.506;6.615;6.656;294.3;277.4;0.0024;0.0029;0.0194;0.0207;0.0217;0.0474;0.0553;231.9;219.2;4.147;4.151;0.1397;0.1381;0.1377;0.2543;0.3931;0.3601;0.3673;0.3778;0.3604;0.0255;0.4063;413;485.5;402.2;351.3;1.002;1.001;1;9.331;9.57;9.566;9.445;0.0287;0.0267;0.0425;0.0662
T2-N10E21;101.6;187.3415;;;5.006;5.057;5.092;376.6;380.3;0.0028;0.0015;0.0201;0.022;0.0239;0.0302;0.0382;238.8;224.4;4.855;4.879;0.1784;0.176;0.1751;0.2939;0.4261;0.3933;0.3984;0.394;0.3934;0.0253;0.417;382.2;451.6;371.3;323.7;1;0.9956;0.9955;2.013;2.055;2.081;2.042;0.0811;0.0794;0.0947;0.1111
T2-F11B1;97.2;;;;5.731;5.834;5.868;300.1;284.4;0.0018;0.0014;0.0181;0.0184;0.0186;0.0295;0.0366;204.9;194.1;3.508;3.494;0.1202;0.1185;0.119;0.222;0.3397;0.3115;0.3161;0.3238;0.3102;0.0298;0.3625;431.3333333;508.5;418.5;367;0.9991;0.9973;0.9953;7.097;7.239;7.225;7.156;0.0318;0.0301;0.0437;0.0723
T2-11B2;98.9;;;;20.71;21.22;20.85;23.16;22.9;0.0078;0.0001;0.0555;0.0713;0.0823;0.6749;0.6986;989.8;894.4;13.16;13.13;0.397;0.3949;0.392;0.8635;1.567;1.44;1.462;1.45;1.443;0.0776;1.599;122;143.4;120.2;102.4;1.013;1.006;1.011;9.4;9.616;9.681;9.454;0.1061;0.0907;0.1577;0.3174
T2-P11B2;111;;;;7.817;7.96;7.99;310.8;297.4;0.0038;0.002;0.0297;0.0341;0.0351;0.2404;0.2485;292.2;278.4;5.719;5.784;0.1972;0.193;0.1928;0.347;0.879;0.825;0.8398;0.8551;0.8306;0.0281;0.5228;495.7666667;585.1;480.4;421.8;0.9836;0.9803;0.9821;12.33;12.64;12.65;12.48;0.056;0.0519;0.0752;0.1114
T2-N11B2;93.6;;;;4.869;4.909;4.941;331.1;330.5;0.003;0.002;0.0234;0.0242;0.0268;0.0383;0.0467;247.8;233.9;4.682;4.736;0.1736;0.1701;0.1693;0.2923;0.4651;0.4283;0.4346;0.4425;0.4287;0.0293;0.4283;361.6;430.7;349.8;304.3;0.9957;0.992;0.9911;8.335;8.551;8.517;8.44;0.0473;0.0451;0.0621;0.0951
T2-12A1;;;10;;39.01;40.07;39.15;45.67;45.94;0.0128;0.0027;1.687;1.691;1.683;0.4831;0.5148;1212;1330;125.7;108.2;5.479;5.553;5.598;5.919;46.2;46.03;45.75;45.55;45.91;0.0479;2.178;1048;973.4;957.6;957.1;0.988;0.9803;0.9832;8.664;8.827;9.125;8.834;0.9128;0.9276;1.215;1.195
T2-12A2;;;10;;40.09;41.2;40.43;46.85;47.22;0.0122;0.0022;1.725;1.723;1.721;0.4983;0.5288;1242;1386;129.8;111;5.585;5.741;5.741;6.053;46.95;47.54;46.3;46.18;47.13;0.0493;2.222;1099;997;974.1;978.6;0.9748;0.9702;0.9765;9.574;9.798;10.08;9.794;0.9299;0.9549;1.223;1.24
T2-P12A1;;;10;;3.534;3.981;3.707;63.16;63.77;0.0462;0.0038;0.6579;0.7197;0.886;0;0.0241;3236;3666;153;137;5.081;5.275;5.248;7.845;8.472;8.117;7.885;7.815;8.081;0.2005;9.761;3503;2296;2625;3176;0.8862;0.8809;0.8957;13.86;14.07;15.84;13.91;0.549;0.5108;0.9482;2.127
T2-P12A2;;;10;;8.037;8.639;8.449;63.32;63.61;0.0481;0.0019;0.7085;0.7715;0.9498;0;0.0148;3373;3695;162.9;144;5.867;6.102;6.094;8.841;9.248;8.878;8.616;8.542;8.808;0.2172;10.43;3839;2393;2751;3387;0.8834;0.8769;0.8897;14.63;14.75;16.65;14.66;0.626;0.5893;1.056;2.328
T2-L12A1;;;10;;296.7;309.3;280.7;67.92;68.78;0.1093;0.0029;1.382;1.407;2.054;10.35;10.73;3445;4358;192.9;182.6;8.26;8.527;8.554;15.2;39.84;39.28;38.17;38.02;39.24;0.6589;23.59;20570;3613;5130;11510;0.7788;0.7712;0.7925;9.508;8.925;13.46;8.851;1.142;0.9291;2.326;5.584
T2-L12A2;;;10;;288.1;299.5;271.9;51.99;52.31;0.0925;0.0072;1.313;1.353;1.888;9.368;9.69;3669;4243;196.7;180.2;9.158;9.41;9.522;15.36;37.16;36.82;35.67;35.42;36.75;0.5833;21.1;20440;3592;5079;11260;0.796;0.7919;0.812;7.912;7.319;11.2;7.264;1.103;0.937;2.134;5.006
T2-N12A1;;;10;;0.7423;0.7521;0.7566;63.36;63.36;0.0005;0.0014;0.0303;0.0293;0.0305;0.0205;0.023;61.27;60.04;85.2;78.59;0.7898;0.8177;0.8019;0.7877;0.1238;0.1229;0.1171;0.1152;0.1223;0.0037;0.0825;326.9;261.3;245.4;237.6;0.9841;0.9826;0.9854;0.3347;0.3393;0.3525;0.3439;0.0103;0.012;0.0151;0.0399
T2-N12A2;;;10;;0.021;0.0277;0.0225;43.12;43.16;0.0001;0.0013;0.0248;0.0234;0.0255;0.0015;0.0024;9.537;9.386;65.34;60.68;0.4404;0.4623;0.4513;0.4284;0.0125;0.0132;0.0121;0.0113;0.0138;0.0015;0.0133;191.5;146.4;137.5;132.7;1.004;1.005;1.007;0.2478;0.2537;0.2552;0.2509;0.0114;0.0135;0.0128;0.0289
T2-N12G1;;;10;;0.028;0.0393;0.0323;41.47;41.47;0.0003;0.0016;0.0277;0.0272;0.0282;0.0001;0.0019;30.46;30.08;56.64;53.3;0.2364;0.2454;0.2404;0.2436;0.1003;0.1009;0.0975;0.0958;0.1012;0.002;0.0322;193.7;148.3;139;134.1;1.008;1.004;1.009;0.1871;0.1901;0.1952;0.1925;0.0146;0.0166;0.0175;0.035
T2-N12G2;;;10;;0.0315;0.0406;0.0355;52.58;52.4;0.0001;0.0014;0.0246;0.0234;0.0245;0.001;0.0015;13.74;13.42;90.9;80.19;0.6379;0.67;0.6536;0.6237;0.0097;0.0093;0.0096;0.0078;0.0105;0;0.0268;250.5;193.6;181.3;174.2;1.011;1.007;1.012;0.3137;0.3152;0.3225;0.3196;0.0069;0.0088;0.0091;0.0185
T2-F12A1;;;10;;2.789;3.175;2.927;60.05;60.35;0.0371;0.0014;0.5101;0.5722;0.7076;0;0.0027;3309;3478;134.6;122.4;4.453;4.63;4.62;6.908;8.974;8.707;8.449;8.366;8.547;0.1812;8.624;3500;2225;2423;2815;0.9104;0.9067;0.918;18.07;18.38;20.27;18.55;0.4902;0.4592;0.8358;1.865
T2-F12A2;;;10;;10.06;10.69;10.51;67.82;68.04;0.0472;0.001;0.6589;0.7228;0.9199;0;0.0057;3493;3753;173.6;152;6.294;6.539;6.528;9.437;11.74;11.52;11.06;10.96;11.35;0.2339;10.89;4405;2490;2827;3496;0.8753;0.8716;0.8844;25.75;26.15;28.04;26.07;0.6651;0.6273;1.13;2.479
T2-F12Z1;;;10;;1.26;1.467;1.334;51.58;51.71;0.0223;0.0005;0.3406;0.3866;0.45;0;0.0125;2511;2941;84.16;83.13;2.681;2.791;2.778;4.229;7.177;7.104;6.841;6.76;7.035;0.1066;5.203;2184;1654;1631;1709;0.955;0.9524;0.9645;2.813;2.662;3.423;2.648;0.3139;0.2991;0.5135;1.106
T2-F12Z2;;;10;;3.247;3.513;3.39;51.91;51.96;0.0232;0.0012;0.3542;0.3989;0.4707;0;0.0143;2607;3089;88.05;83.05;3.048;3.164;3.164;4.697;7.633;7.533;7.278;7.201;7.471;0.1104;5.538;2337;1734;1723;1818;0.9524;0.9488;0.9595;3.472;3.39;4.177;3.372;0.3472;0.3327;0.5617;1.183
T2-N11E11;98.8;179.0443;;;4.868;4.929;4.972;356.6;356.5;0.0029;0.0021;0.0216;0.0226;0.0231;0.02;0.0279;222.6;224.9;4.226;4.275;0.1622;0.1668;0.1662;0.2807;0.4462;0.4372;0.4231;0.4333;0.4343;0.0183;0.4102;419.2;325.1;298.7;287.3;0.9857;0.9812;0.9884;9.017;9.271;9.368;9.32;0.0707;0.0715;0.0843;0.1046
T2-N12B1;99.1;;;;5.07;5.128;5.174;340.3;340.1;0.0029;0.0022;0.022;0.0255;0.0251;0.0438;0.0516;235.8;238.5;4.936;5.007;0.17;0.1736;0.1735;0.2986;0.3975;0.3843;0.3704;0.3804;0.3813;0.0291;0.458;429.9;330.4;303.9;291.6;0.9817;0.9773;0.9831;7.547;7.746;7.787;7.766;0.0805;0.0816;0.0951;0.1232
T2-L12B1;95.1;;;;8.584;8.7;8.81;63.93;63.91;0.0021;0.0022;0.0378;0.0379;0.038;0.3909;0.3896;176.4;176.7;6.656;6.629;0.254;0.2627;0.2627;0.3458;0.7954;0.8015;0.7757;0.7835;0.79;0.0523;0.3536;522.3;400.6;374.7;359.8;1.026;1.021;1.028;7.617;7.801;7.847;7.85;0.0785;0.0772;0.0873;0.1166
T2-N11E12;99.8;179.0443;;;4.899;4.963;4.995;357.9;358.2;0.0028;0.0034;0.0212;0.0236;0.0235;0.0193;0.0271;221.8;223.4;4.09;4.121;0.1619;0.1656;0.1653;0.2796;0.4419;0.4284;0.4204;0.4314;0.4293;0.0167;0.4134;425.3;327.1;299.4;287;0.9974;0.9908;0.9973;8.938;9.181;9.283;9.226;0.0693;0.0695;0.0831;0.1026
T2-L12B2;103.5;;;;10.31;10.45;10.56;83.64;83.68;0.002;0.0023;0.0453;0.0449;0.0447;0.4363;0.436;183;183.8;7.734;7.686;0.2954;0.3022;0.3021;0.3864;0.9194;0.921;0.8956;0.9116;0.9172;0.0432;0.3594;572.6;442.4;411.6;395.5;1.011;1.002;1.007;10.32;10.58;10.7;10.67;0.0962;0.0952;0.1051;0.1278
T2-F12B1;95.1;;;;6.33;6.471;6.503;297.8;285.5;0.0022;0.0051;0.0184;0.0204;0.0204;0.0627;0.0697;231.9;232.5;4.023;3.994;0.1359;0.1384;0.1381;0.2593;0.3624;0.3486;0.3386;0.3433;0.3463;0.0304;0.428;485;371.2;341.1;326.8;1.001;0.9928;0.9957;5.384;5.529;5.555;5.56;0.0696;0.0693;0.0823;0.11
T2-P12-B2;99.3;;;;7.432;7.584;7.629;299.7;287.3;0.0026;0.004;0.0245;0.028;0.0268;0.2364;0.2402;227.6;228.4;4.669;4.661;0.161;0.1635;0.1645;0.2817;0.7251;0.7147;0.6984;0.6998;0.7118;0.0268;0.4342;518.9;400.9;367.8;353.3;0.9945;0.9875;0.9893;7.006;7.142;7.219;7.183;0.0983;0.098;0.1108;0.1326
T2-12B2;96.5;;;;18.68;19.05;18.88;47.1;47.13;0.0068;0.0002;0.054;0.0687;0.0754;0.7152;0.7322;778.2;837.8;10.87;10.81;0.4041;0.4152;0.4162;0.8307;1.337;1.288;1.255;1.258;1.275;0.0607;1.489;157;111.7;102.2;97.7;1.005;0.9982;1.005;9.439;9.654;9.828;9.7;0.0763;0.0641;0.1209;0.2698
T2-N11E21;98.4;159.4101;;;5.513;5.615;5.657;338.9;339.8;0.0029;0.005;0.0219;0.0265;0.0257;0.0338;0.0422;242.6;242.8;3.721;3.722;0.1697;0.1721;0.1727;0.3017;0.4478;0.431;0.4218;0.4366;0.4322;0.0173;0.4807;435.7;328;299.8;285.6;0.9969;0.9914;0.9972;10.56;10.82;10.99;10.9;0.0798;0.0797;0.0954;0.1243
T2-P12B1;97.8;;;;6.263;6.393;6.418;310.1;295.7;0.0025;0.0025;0.0255;0.024;0.0255;0.2068;0.2125;219.6;220;3.985;3.959;0.1357;0.1374;0.1382;0.2519;0.6922;0.6798;0.6708;0.672;0.6753;0.0223;0.4251;515.4;393.9;360.6;344.9;0.9961;0.9882;0.9919;6.723;6.865;6.952;6.905;0.0747;0.0737;0.0881;0.112
