Sample;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Pb
1;мкг/л;мг/л;мг/л;мкг/л;мкг/л;мкг/л;мг/л;мкг/л;мкг/л;мкг/л;мкг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;нг/л;мкг/л
E2-L24z1;148440;9720;520;23880;8600;10524;5840;418.4;22560;6896;760.8;43400;3516;1260;2728;560;2640;584;2280;80;40;56
E2-P27A2;1825;1800;300;650;48275;4430;3425;0.75;160;17.5;118.75;975;50;22.5;75;75;100;17.5;15;5;22.5;2.5
E2-P17B2F1;18640;1640;400;220;32860;3570;3180;2.4;248;118;408.8;1220;166;104;292;200;180;96;138;36;44;4
E2-24A2 ;3110;570;200;14200;54250;15960;100;41;5182;16;111.4;1080;31;59;25;140;150;5;12;1;11;1
E2-24A1;2860;520;180;12710;46960;14340;90;37.4;4687;14;97.7;950;28;53;19;120;130;5;10;1;11;1
E1-24A2;70;190;200;3210;51250;2493;150;1.7;182;12;36.8;70;9;22;20;140;10;3;0;0;15;1
E1-24A1;50;160;180;2880;44930;2179;130;1.5;143;10;34;60;8;19;19;130;10;3;0;1;16;1
E2-N26L2;1770;40;100;345;80660;48.3;105;0.65;54.5;17.5;61.9;160;10;10.5;47.5;85;150;4;9;7.5;3.5;6.5
E2-N26L1;1300;50;85;550;88075;22.2;50;5.9;327;86;49.5;190;14;16;37;75;135;4.5;7;3;4.5;4
E2-N26A2;15;180;85;4280;46210;1145.5;330;0.2;45;10.5;22.9;60;5;6;13;45;20;1.5;0;0;6;1.5
E2-N26A1;20;140;90;41985;50865;1126;175;0.3;17.5;8.5;24.95;70;4.5;5.5;10;45;15;1.5;0.5;0.5;11;0.5
E2-N26N1;45;55;85;18375;19365;429.75;80;0.3;9;20;40.45;75;3.5;2.5;10;60;15;1.5;0;0.5;5.5;1
E2-N26N2;45;100;100;2510;27420;605;190;0.25;9.5;19.5;390.8;275;4;3.5;14.5;50;25;1.5;0.5;56;3;1
E2-F26Z2 ;7780;660;300;640;47940;1298.2;1660;1.2;888;16;427.2;480;50;10;50;200;120;14;20;2;6;2
E2-F26Z1;53980;4840;240;419400;323300;11968;10660;14.8;3966;70;1762;5400;382;104;296;3940;3720;106;208;38;100;58
E2-26A2;470;230;150;7550;41850;6481;40;11.9;1653;18;59.3;360;13;25;16;60;30;3;4;2;6;1
E2-26A1;580;240;150;7500;40370;6569;40;15.7;1885;28;57.5;380;14;25;17;70;60;3;4;0;2;1
E2-F26A2;15460;1120;240;1600;56200;2190;2400;1.2;342;10;558;580;68;16;66;60;280;16;26;2;8;4
E2-F26A1;8880;1040;240;71600;58580;2008;2280;3.6;900;12;332;640;58;14;54;60;160;14;18;2;14;4
E2-N26G1;130;160;80;46560;50185;1096.5;220;0.25;25.5;8.5;36.35;65;4.5;5.5;10;65;5;0.5;0.5;0.5;4;0.5
E2-F25D2;14130;570;14400;4110;435000;216;540;990;46760;8390;480;17680;1330;3300;7710;16080;7500;160;290;1820;340;86800
E2-23C41;120100;1100;40000;18580;917500;7543;6250;1190;56420;10450;490;37340;3150;6600;14620;15240;4500;880;1660;3750;620;259400
E2-F27D21;12800;420;20600;2990;545800;144;470;610;28480;4680;210;10290;830;2100;5060;6460;4600;270;220;1090;200;40600
E2-F27D22;12010;430;31400;2100;537300;137;470;610;27890;4820;180;10460;850;2100;5360;6600;4800;260;220;1290;260;38300
E1-F21D11;14790;460;27500;3080;519600;166;260;640;32030;9500;70;13720;2340;4300;10330;10380;7200;300;250;2930;250;38500
E1-F21D12;14880;480;31600;3210;542600;155;270;670;34620;9710;80;15050;2530;4600;10840;11420;7600;330;260;2600;390;41900
E2-F25L1;4060;250;1560;29540;16570;725.6;784;1.8;310;162;150;233.2;8;18;88;1512;300;8;8;18;8;6320
E2-F25G2;45.4;120;1840;3860;41520;1026.2;280;0.2;10;6;22;21.8;-6;6;66;76;220;2;0;8;14;680
E2-27A1;326.7;115;2120;4768;37560;4064;22;5;946;7;33;204.8;1;17;34;59;130;1;3;4;16;530
E2-27A2 ;277.5;127;2150;4945;38140;4317;25;3.1;858;7;32;211;2;17;33;56;120;2;3;5;11;600
E2-N27A1;36.85;90;2280;106500;44320;161.6;7.5;0.2;8.5;4;13;47.55;0.5;6;17;170;55;1.5;0.5;2.5;8.5;660
E2-N27A2 ;53.35;67;2310;142400;43255;4.6;2.5;0.15;6.5;3.5;11.5;147.75;2;6;17.5;172;65;1;1;3;4;550
E2-N27G1;12.9;95;2625;113300;47985;182.7;6;0.2;6.5;6;19.5;55.95;3;7;17;48.5;60;1.5;0.5;2.5;9;440
E2-N27G2 ;30.65;66;2310;129400;31500;2.4;1;0.2;5;7;21.5;194.3;4;5;17;48.5;70;1.5;1;3;4.5;545
E2-F27A1;4328;964;1980;1956;50520;2842;2504;5;964;10;68;697.8;18;24;116;70;560;6;8;16;26;2940
E2-F27A2 ;6338;1100;1700;1380;47040;3396;2904;3.4;532;12;112;649.6;16;34;166;76;1140;12;12;18;24;6080
E2-F27Z1;1200.6;744;1680;1408;40700;2220;2048;2.2;896;6;144;587.4;8;12;70;1098;300;4;6;12;40;1620
E2-F27Z2 ;1356.4;724;1600;742;46600;2232;1996;2.4;924;10;100;568.6;6;12;66;132;320;2;4;10;18;1500
E2-F27L1;539.8;216;1800;766;17326;719.6;712;2.2;360;22;148;237.8;-2;8;64;720;220;2;2;10;22;1960
