name;Al;S;Cl;K;Ca;Mn;Fe;Co;Ni;Cu;Zn;Mo;Ru;Rh;Pd;Ag;Cd;Os;Ir;Pt;Au;Pb
T2-L1P1F1N1A4;0.2099;90.0;490.0;5.719;65.954;0.0501;12.0;0.002;0.025;0.022;0.011;0.0001262;1.5e-05;1.4e-05;1e-05;0.00115;0.000178;1e-05;1e-05;1e-05;1e-05;0.09427
T2-L2P2F2N2A1;0.0358;120.0;330.0;5.634;79.775;0.1723;13.0;0.001;0.0;0.017;0.005;3.34e-05;1e-05;1.45e-05;1e-05;0.0012;2e-05;1e-05;1e-05;1e-05;1e-05;0.1103
T2-L2P2F2N2A2;0.04;120.0;280.0;5.363;67.165;0.2409;15.0;0.0;0.012;0.016;0.006;2.2299999999999997e-05;1e-05;1.9e-05;1e-05;0.00107;2e-05;1e-05;1e-05;1e-05;1e-05;0.09796
T2-L5P5F5N5A1;0.1576;140.0;76320.0;6.592;106.462;0.1432;12.0;0.002;0.038;0.02;0.038;0.0001022;1e-05;1.9e-05;2e-05;0.00026;0.000352;1e-05;1e-05;1e-05;8.6e-05;0.00158
T2-L5P5F5N5A2;0.0798;140.0;69900.0;5.734;94.056;0.3972;12.0;0.002;0.016;0.02;0.036;6.06e-05;1e-05;1.9e-05;4e-05;0.00022;8e-05;1e-05;1e-05;1e-05;0.000142;0.00136
T2-L5P5F5N5B1;6.6603;300.0;30040.0;1.219;446.29;0.2816;269.0;0.038;0.884;0.086;0.156;0.001187;0.00018;0.000164;0.00035;0.001;0.000573;3.3e-05;3.5e-05;5.2e-05;7.9e-05;0.00985
T2-L5P5F5N5B2;5.4622;250.0;10150.0;0.918;370.52;0.236;217.0;0.033;0.745;0.047;0.115;0.000958;0.00014;0.000167;0.00027;0.00061;0.000392;2.8e-05;2.6e-05;5.9e-05;4.8e-05;0.00705
T2-L1P1A3;0.5067;2430.0;330.0;0.373;62.492;5.6197;3921.0;0.336;0.682;0.04;0.287;0.0010382;3e-05;2.7e-05;2e-05;0.00112;2e-05;1e-05;1e-05;1e-05;1.1e-05;0.10283
T2-L1P1A4;1.2067999999999999;2330.0;310.0;0.361;65.771;5.865;3830.0;0.402;0.812;0.036;0.326;0.0010894000000000001;3e-05;1.75e-05;3e-05;0.00181;2e-05;1e-05;1e-05;1e-05;1e-05;0.10502
T2-L2P2A1;0.1579;1210.0;240.0;3.321;64.272;4.424200000000001;1730.0;0.009;0.021;0.026;0.035;0.0003771;2e-05;1.8e-05;1e-05;0.00112;2e-05;1e-05;1e-05;1e-05;1e-05;0.10646
T2-L2P2A2;1.0523;1610.0;250.0;1.05;108.229;4.6486;2373.0;0.102;0.48;0.111;0.103;0.0006614;5e-05;5.2e-05;4e-05;0.00114;6.6e-05;1e-05;1e-05;1e-05;3.1e-05;0.10816
T2-L5P5A1;25.21;7160.0;7660.0;0.078;122.83;7.067;5720.0;1.122;19.668;0.076;1.068;0.0081644;0.0002;5.5e-05;8e-05;0.00018;0.009826;1e-05;1e-05;1.3e-05;0.000376;0.0206
T2-L5P5A2;6.2866;2260.0;66220.0;0.364;97.59;4.6453999999999995;3540.0;0.802;11.78;0.04;0.724;0.003935800000000001;0.0001;3.7e-05;6e-05;0.0003;0.00143;1e-05;1e-05;1e-05;0.000208;0.0016
T2-L5P5B1;6.639;260.0;3120.0;1.201;252.25;0.1535;199.0;0.026;0.903;0.287;0.161;0.001197;0.00022;0.00027;0.00032;0.00095;0.000703;1.2e-05;3.8e-05;8.8e-05;1.2e-05;0.00858
T2-L5P5B2;6.6276;140.0;370.0;1.119;119.74;0.1355;168.0;0.023;0.889;0.259;0.136;0.001158;0.0002;0.000242;0.00032;0.0006;0.000512;3.9e-05;3.3e-05;8.9e-05;1.5e-05;0.00791
T4-4C1;19.007;90.0;25100.0;2.7;52.428;0.44430000000000003;736.0;0.05;1.374;0.901;0.085;0.002975;0.00085;0.001057;0.00195;0.00195;0.00047;4.9e-05;0.000138;0.00033;5.9e-05;0.03024
